ts,vault,vault_name,coin,delta_usd,szi,funding_rate
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,CRV,45.765658,-215820.9291666667,9.5775e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ACE,-15.423754,107168.5716666667,1.16928e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,CFX,1.469468,7367.875,-3.93814e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BCH,23.779677,-143.2414166667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,AI16Z,14.105345,-370975.0166666666,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,AAVE,37.018118,-478.1558333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ANIME,9.70704,-1973952.0833333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ALGO,19.947503,-276121.1666666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BIO,-11.717342,-342337.5416666667,-2.31562e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ALT,26.257878,2366584.6666666665,-1.42837e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ADA,44.782768,-205491.1666666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BIGTIME,14.720406,-845006.6666666666,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BNB,-52.46677,227.7458333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ATOM,53.787321,-43717.9166666667,1.22422e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ARK,-9.681526,141037.75,6.7442e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,AVAX,24.923859,-3994.72,1.17781e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BABY,-129.339657,-2349562.2083333335,-3.56966e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BANANA,-21.605739,3034.1,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BERA,120.257896,22275.1125,-0.0001227039
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ARB,-0.058658,-193045.0458333333,-5.36e-08
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MEME,-3.682883,6458527.083333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,APE,35.321548,-224010.9333333333,1.16883e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,AR,57.787699,-28961.20625,1.24019e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,GMX,24.737466,-6687.4066666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MNT,-18.254837,84338.0458333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,FARTCOIN,13.309787,-41977.5166666667,1.33359e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,JUP,8.466068,-59821.1666666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,KAITO,-14.012523,-38975.2083333333,-1.29758e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,KAS,-13.828827,533168.4583333334,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,LAUNCHCOIN,84.469648,-2933492.5833333335,1.60445e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,LAYER,-10.072246,85110.875,8.2139e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,LDO,36.658056,-131370.9583333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,LTC,15.885471,-669.6404166667,9.3408e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MEW,-1.333083,-14654179.458333334,-1.2116e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,JTO,2.02422,-112691.4166666667,4.567e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,IO,-0.452227,2672.2,1.19868e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MAVIA,-5.216211,260779.0708333333,5.2247e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ME,-4.952897,-65073.0958333333,-4.1991e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MELANIA,-35.950932,579662.7916666666,1.23902e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MINA,-2.386335,43699.9166666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ETC,12.679329,-2097.38625,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,VIRTUAL,28.650703,-78004.3541666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MANTA,-0.207511,-81301.075,-4.025e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,IP,17.276124,-9679.1583333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MAV,-32.119325,2462514.5833333335,1.17594e-05
