ts,vault,vault_name,scope,timeframe,account_value,flow_cum,pnl_since_inception
2025-09-24 21:50:00.046000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,165073283.492853,162512036.7228329,2561246.772853
2025-10-08 21:50:00.120000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,135652328.213388,133222972.8203969,2429355.383388
2025-10-15 23:50:00.052000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,172182730.113668,167226286.7527439,4956443.363668
2025-10-29 22:10:00.066000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,172383360.296033,167226286.7527439,5157073.546033
2025-11-12 22:30:00.004000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,172306931.709331,167226286.7527439,5080644.959331
2025-08-13 22:42:00.028000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,143109058.203613,0.0,42572253.293613
2025-08-27 23:10:00.039000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,179207639.723347,0.0,44013550.363347
2025-09-10 21:50:00.024000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,181960363.091726,0.0,43287013.571726
2025-09-24 21:50:00.046000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,165073283.492853,0.0,44353064.892853
2025-10-08 21:50:00.120000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,135652328.213388,0.0,44221173.503388
2025-10-15 23:50:00.052000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,172182730.113668,0.0,46748261.483668
2025-10-29 22:10:00.066000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,172383360.296033,0.0,46948891.666033
2025-11-12 22:30:00.004000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,perp,perpAllTime,172306931.709331,0.0,46872463.079331
2025-08-13 23:12:00.032000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,146087653.054253,143974407.593071,2113245.464253
2025-08-27 22:20:00.025000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,179585879.782439,178533029.25468403,1052850.532439
2025-09-10 22:20:00.087000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,182518494.909255,180749770.67048404,1768724.249255
2025-09-24 22:40:00.078000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,162993230.55679,161872021.15062302,1121209.40679
2025-10-08 23:00:00.039000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,135262974.511931,134036841.30791503,1226133.191931
2025-10-15 23:40:00.010000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,172211638.583157,173725967.02581298,-1514328.436843
2025-10-29 22:20:00.043000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,171919184.266751,173725967.02581298,-1806782.753249
2025-11-12 23:20:00.019000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,all,allTime,171915391.709676,173725967.02581298,-1810575.310324
2025-08-13 23:12:00.032000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,146087653.054253,0.0,42862839.184253
2025-08-27 22:20:00.025000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,179585879.782439,0.0,41802444.252439
2025-09-10 22:20:00.087000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,182518494.909255,0.0,42518317.969255
2025-09-24 22:40:00.078000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,162993230.55679,0.0,41870803.12679
2025-10-08 23:00:00.039000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,135262974.511931,0.0,41975726.911931
2025-10-15 23:40:00.010000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,172211638.583157,0.0,39235265.283157
2025-10-29 22:20:00.043000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,171919184.266751,0.0,38942810.966751
2025-11-12 23:20:00.019000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,Strategy B,perp,perpAllTime,171915391.709676,0.0,38939018.409676
